runname,station_file,cost_file,analysis_date_utc,runyear,mode,status,batch_id
"OPTUNA_41","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_41_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_41_2005.nc","2026-09-18T12:27:55Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_42","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_42_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_42_2005.nc","2026-09-18T12:29:13Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_43","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_43_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_43_2005.nc","2026-09-18T12:30:35Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_64","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_64_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_64_2005.nc","2026-09-18T12:31:51Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_65","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_65_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_65_2005.nc","2026-09-18T12:33:14Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_66","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_66_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_66_2005.nc","2026-09-18T12:34:31Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_67","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_67_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_67_2005.nc","2026-09-18T12:35:47Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_74","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_74_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_74_2005.nc","2026-09-18T12:37:07Z","2005","dry_run","success","20260918T122634Z"
"OPTUNA_75","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_75_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_75_2005.nc","2026-09-18T12:38:25Z","2005","dry_run","success","20260918T122634Z"
"A13","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A13.nc","/Users/akbaskind/Desktop/COST_FILES/A13.nc","2026-09-18T14:41:27Z","2005","production","success","20260918T143917Z"
